Nome do Grupo;Nome do  Líder;Área Predominante;Último Envio;Situação;;;;;;;;;;;;;;;;;;
NEAFI - Núcleo de Estudos Agostinianos e Filosofia na Idade Média ;Nilo César Batista da Silva;Filosofia;27/06/2018;Certificado;;;;;;;;;;;;;;;;;;
TECNOLOGIA, RECURSOS HÍDRICOS E MEIO AMBIENTE NA REGIÃO DO CARIRI/CE;Celme Torres Ferreira da Costa;Engenharia Civil;27/05/2018;Certificado;;;;;;;;;;;;;;;;;;
Nepam - Núcleo de Estudos do Pensamento Antigo e Medieval;Camila do Espírito Santo Prado de Oliveira;Filosofia;15/02/2018;Certificado;;;;;;;;;;;;;;;;;;
LABORATÓRIO DE ESTATÍSTICA MODELAGEM E GEOPROCESSAMENTO;Carlos Wagner Oliveira;Engenharia Agrícola;27/05/2018;Certificado;;;;;;;;;;;;;;;;;;
NEUROCIÊNCIAS E NEUROPROTEÇÃO;Maria Elizabeth Pereira Nobre;Farmacologia;20/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Física Teórica e Computacional;Antonio Carlos Alonge Ramos;Física;20/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Estudos de Doenças Infecciosas e Parasitárias do Cariri;Marcos Antonio Pereira de Lima;Microbiologia;14/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Analysis;Valdetonio Pereira de Alencar;Filosofia;23/03/2018;Certificado;;;;;;;;;;;;;;;;;;
Equações Diferenciais Parciais Elípticas UFCA;Leandro da Silva Tavares;Matemática;20/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Estudo das Características de Matérias Primas Cerâmicas e Rochas Sedimentares do Estado do Ceará e suas Possíveis Aplicações Industriais;Laédna Souto Neiva;Engenharia de Materiais e Metalúrgica;15/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Núcleo de Estudos em Negócios, Estratégia e Consumo - NEC;Jeniffer de Nadae;Administração;25/05/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Pesquisa em Paleomateriais;João Hermínio da Silva;Física;08/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Cardiometa - Aspectos Moleculares de Doenças Cardíacas e Metabólicas;Heberty Di Tarso Fernandes Facundo;Bioquímica;28/03/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Estudos da Atmosfera e Metodologias Analíticas - GEAMA;Leticia Caetano da Silva;Química;01/02/2018;Certificado;;;;;;;;;;;;;;;;;;
NEMus - Núcleo de Estudos em Educação Musical;José Robson Maia de Almeida;Artes;04/11/2017;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Pesquisa em Educação, Ciências e Mídias Digitais (EDUCMÍDIA);Rodrigo Lacerda Carvalho;Educação;03/06/2018;Certificado;;;;;;;;;;;;;;;;;;
Laboratório de Estudos de Idealismo Alemão;Ericsson Venâncio Coriolano;Filosofia;23/05/2018;Certificado;;;;;;;;;;;;;;;;;;
Agroecologia e Desenvolvimento Regional Sustentável;Francisco Roberto de Azevedo;Agronomia;01/02/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Pesquisas e Estudos em Saúde, Sustentabilidade e Trabalho - GRUPESST;Maria Rosilene Candido Moreira;Saúde Coletiva;02/06/2018;Certificado;;;;;;;;;;;;;;;;;;
CEMUC - Centro de Estudos Musicais do Cariri;Márcio Mattos Aragão Madeira;Artes;21/02/2018;Certificado;;;;;;;;;;;;;;;;;;
Núcleo de Estudos Avançados em Doenças Tropicais;Maria do Socorro Vieira Gadelha;Medicina;14/12/2017;Certificado;;;;;;;;;;;;;;;;;;
Lakan i Alice - Grupo de Pesquisa em Filosofia e Psicanálise;Patrick de Oliveira Almeida;Filosofia;02/06/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Estudos de Doenças Tropicais e Neplásicas do Cariri;Cláudio Gleidiston Lima da Silva;Medicina;16/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Cartografias da Subjetividade;Regiane Lorenzetti Collares;Filosofia;05/07/2018;Certificado;;;;;;;;;;;;;;;;;;
Laboratório de prototipagem rápida e computação gráfica;Deborah Macêdo dos Santos;Desenho Industrial;04/05/2018;Certificado;;;;;;;;;;;;;;;;;;
GRUPO DE PESQUISA EM ENGENHARIA ESTRUTURAL DO CARIRI;Cleirton André Silva de Freitas;Engenharia Civil;14/08/2018;Certificado;;;;;;;;;;;;;;;;;;
 Produtos Naturais e Biotecnologia;Cláudia Araújo Marco;Agronomia;02/06/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Física e Astronomia do Cariri  (GFAC);Tharcísyo Sá e Sousa Duarte;Física;27/08/2018;Certificado;;;;;;;;;;;;;;;;;;
GRUPO MAPA - Memória, Acervos e Patrimônio;Ariluci Goes Elliott;Ciência da Informação;27/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Códigos Corretores de Erros e Temas Afins;Clarice Dias de Albuquerque;Matemática;05/09/2018;Certificado;;;;;;;;;;;;;;;;;;
Laboratório de Estudos em Violência e Segurança Pública;Wendell de Freitas Barbosa;Sociologia;20/07/2018;Certificado;;;;;;;;;;;;;;;;;;
Fisiologia e Bioquímica do Estresse em Plantas;Juan Carlos Alvarez Pizarro;Botânica;11/04/2018;Certificado;;;;;;;;;;;;;;;;;;
Biblioteca, Informação e Sociedade (BIS);Maria Cleide Rodrigues Bernardino;Ciência da Informação;22/05/2018;Certificado;;;;;;;;;;;;;;;;;;
GRUPO DE TECNOLOGIAS QUÍMICAS APLICADAS - GTQA;Marcelo Oliveira Santiago;Química;01/06/2018;Certificado;;;;;;;;;;;;;;;;;;
Estudos Fotograficos;Marcelo Eduardo Leite;Comunicação;29/05/2018;Certificado;;;;;;;;;;;;;;;;;;
Patologia Vegetal no Semiárido;Kamila Câmara Correia;Agronomia;20/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Semiótica e construções identitárias: a semiotização da herança cultural na geração de sentidos de identidade e alteridade;Ricardo Nogueira de Castro Monteiro;Comunicação;23/04/2018;Certificado;;;;;;;;;;;;;;;;;;
Núcleo de desenvolvimento e aplicação de estratégias para o combate a doenças e agravos das coletividades humanas;Estelita Lima Cândido;Saúde Coletiva;27/05/2018;Certificado;;;;;;;;;;;;;;;;;;
Núcleo de Empreendedorismo, Responsabilidade e Marketing Social;Marcus Vinicius de Oliveira Brasil;Administração;05/04/2018;Certificado;;;;;;;;;;;;;;;;;;
Centro de Estudos e Pesquisa em Jornalismo ;Paulo Eduardo Silva Lins Cajazeira;Comunicação;22/08/2018;Certificado;;;;;;;;;;;;;;;;;;
Benditos: Núcleo de Design Antropologia;Ana Neuza Botelho Videla;Antropologia;04/06/2018;Certificado;;;;;;;;;;;;;;;;;;
Estudos em Ruminantes;Antônio Nélson Lima da Costa;Zootecnia;28/05/2018;Certificado;;;;;;;;;;;;;;;;;;
NEFIMP - Núcleo de Estudo em Fitotecnia e Melhoramento de Plantas;Silvério de Paiva Freitas Júnior;Agronomia;04/06/2018;Certificado;;;;;;;;;;;;;;;;;;
HidroInformática: desenvolvimento e aplicações;Paulo Roberto Lacerda Tavares;Engenharia Civil;14/09/2018;Certificado;;;;;;;;;;;;;;;;;;
MESOR - Modelagem Estatística, Simulação e Otimização de Risco;Paulo Renato Alves Firmino;Probabilidade e Estatística;15/09/2018;Certificado;;;;;;;;;;;;;;;;;;
Grupo de Pesquisa Interdisciplinar em Ciências da Natureza, Tecnologia e Educação - INCINATE;Maria Iracema Pinho de Sousa;Educação;17/09/2018;Certificado;;;;;;;;;;;;;;;;;;
GRUPO DE PESQUISAS GEOTÉCNICAS NO SEMI-ÁRIDO (GPGSA );Ana Patrícia Nunes Bandeira;Engenharia Civil;12/09/2018;Certificado;;;;;;;;;;;;;;;;;;
Observatório Cariri de Políticas e Práticas Culturais;Ivan Satuf Rezende;Artes;19/09/2018;Certificado;;;;;;;;;;;;;;;;;;
Laboratório de Estudos em Gestão de Cidades e Territórios;Francisco Raniere Moreira da Silva;Administração;22/09/2018;Certificado;;;;;;;;;;;;;;;;;;
Análise, Geometria e Álgebra: Teoria e Aplicações;Vicente Helano Feitosa Batista Sobrinho;Matemática;01/10/2018;Certificado;;;;;;;;;;;;;;;;;;